name,description,muscle_ids
"Подъем гантелей на бицепс стоя","Поочередно или одновременно сгибай гантели, локти прижаты к корпусу.","1"
"Подъем гантелей перед собой","Поднимай прямые руки перед собой до уровня глаз.","16"
"Подъем на носки сидя","Сядь в тренажер. Поднимай носки за счет икр, максимальная амплитуда.","9"
"Подъем на носки стоя","Встань на край платформы. Максимально высоко поднимайся на носки.","9"
"Подъем ног в висе","Повисни на турнике. Поднимай прямые ноги к перекладине.","20,22"
"Подъем ног лёжа","Ляг на спину. Поднимай прямые ноги до 90°, поясница прижата.","20"
"Подъем штанги на бицепс","Сгибай руки в локтях, прижимая их к бокам.","1,19"
"Приседания «Кубок» (Goblet)","Держи гантель перед грудью. Садись глубоко.","10,30"
"Приседания в Смите","Используй тренажер Смита. Поставь ноги чуть вперед, садись до параллели.","10,30"
"Приседания со штангой","Штанга на плечах. Садись до параллели, спина прямая.","10,18,30"
"Пуловер на верхнем блоке","Встань перед блоком. Прямыми руками тяни рукоять от головы к бедрам.","29"
"Пуловер с гантелью","Ляг поперек скамьи. Опусти гантель за голову на прямых руках, верни назад.","7,29"
"Разведение гантелей лёжа","Разведи руки в стороны до растяжения, на выдохе сведи над грудью.","24"
"Разведение ног в тренажере","Разводи рычаги за счет внешней поверхности бедра.","15"
"Разведения гантелей в стороны","Поднимай гантели через стороны до уровня плеч.","25"
"Разведения рук в тренажере","Сядь, упрись предплечьями в валики. Разводи локти в стороны.","25"
"Разведения с гантелями в наклоне одной рукой","Упрись в стойку, тяни гантель в сторону одной рукой.","25"
"Разгибания на блоке с канатом","Тяни канат вниз, в нижней точке разводи кисти.","28"
"Разгибания ног сидя","Сядь в тренажер. Разгибай ноги до полного выпрямления.","10"
"Ролик для пресса","Встань на колени, возьми ролик. Выкатывай вперед до вытяжения, возвращайся.","11,20"
"Румынская тяга","Опускай штангу вдоль ног до середины голени, отводя таз назад.","2,30"
"Русские скручивания","Сядь с согнутыми ногами. Разворачивай корпус вправо-влево с весом.","12,20"
"Сведение в кроссовере снизу вверх","Тяни рукояти нижних блоков вверх крест-накрест, акцент на верхний пучок.","4"
"Сведение ног в тренажере","Сжимай рычаги за счет внутренней поверхности бедра.","21"
"Сведение рук в кроссовере","Возьми рукояти, слегка согни локти и сведи руки перед собой до касания.","7"
"Сведение рук в кроссовере сверху вниз","Тяни рукояти верхних блоков к бедрам, слегка скрещивая их в нижней точке.","13"
"Сведения в пек-дек (бабочка)","Прижми спину к подушке, своди рычаги перед собой за счет грудных.","24"
"Сгибания на скамье Скотта","Положи руки на подушку. Сгибай штангу к подбородку.","1"
"Сгибания ног лёжа","Сядь в тренажер для сгибания. Сгибай ноги к ягодицам.","2,30"
"Сгибания рук с гантелями на наклонной скамье","Ляг спиной на скамью 45°. Сгибай руки, растягивая бицепс.","1"
"Скручивания","Ляг на спину. Отрывай только лопатки, прижимая поясницу к полу.","20"
"Скручивания в кроссовере","Встань на колени у верхнего блока. Тяни рукоять вниз, скручивая корпус.","20"
"Скручивания с весом","Держи блин у груди. Поднимай только лопатки, сжимая пресс.","20"
"Становая тяга","Спина прямая, таз назад. Поднимай штангу вдоль ног за счет спины и бедер.","10,18,27"
"Становая тяга на прямых ногах","Опускай штангу вдоль ног до середины голени, колени почти прямые.","2,18"
"Становая тяга сумо","Широкая постановка ног, хват внутри. Тяни штангу вертикально вверх.","18,21"
"Тяга блока в сторону","Встань боком к блоку. Тяни рукоять нижнего блока через тело в сторону.","25"
"Тяга верхнего блока за голову","Тяни рукоять за затылок до уровня ушей. Будь аккуратен с плечами.","29"
"Тяга верхнего блока к груди","Тяни рукоять к верху груди, локти направляй в пол и назад.","1,29"
"Тяга верхнего блока узким параллельным хватом","Тяни рукоять к низу груди, локти прижимай к телу.","1,29"
"Тяга гантелей в наклоне двумя руками","Наклонись, спина прямая. Тяни обе гантели к поясу одновременно.","29"
"Тяга гантели в наклоне","Упрись рукой в скамью. Тяни гантель к бедру, работая только спиной.","1,29"
"Тяга к лицу (Face Pull)","Тяни канатную рукоять к лбу, разводя кулаки в стороны за уши.","3,8"
"Тяга рычажная в хаммере","Сядь, упрись грудью. Тяни рычаги на себя, сводя лопатки.","26,29"
"Тяга Т-грифа","Встань над грифом. Тяни рукояти к животу, держи спину ровной.","26,29"
"Тяга штанги в наклоне","Наклонись под 45°. Тяни штангу к животу, прижимая локти к корпусу.","1,26,29"
"Тяга штанги в наклоне широким хватом","Тяни гриф к верху живота для акцента на верх спины.","8,29"
"Тяга штанги к подбородку","Тяни гриф вертикально вверх вдоль тела, локти поднимай выше кистей.","25,27"
"Удержание «Полый корпус» (Hollow Rock)","Ляг на спину. Оторви ноги и плечи, прижми поясницу.","11"
"Французский жим лёжа","Опускай гриф ко лбу, работая только в локтях.","28"
"Фронтальные приседания со штангой","Штанга на передних дельтах. Садись глубоко, держи корпус вертикально.","10,30"
"Шраги с гантелями стоя","Держи гантели по бокам, поднимай плечи к ушам без вращения.","27"
"Шраги со штангой","Держи гриф перед собой. Поднимай плечи максимально высоко к ушам.","27"
"Ягодичный мостик","Ляг на спину, согни ноги. Выталкивай таз вверх.","2,30"
"Ягодичный мостик со штангой","Положи штангу на бедра. Упри лопатки в скамью, выталкивай таз вверх.","2,30"
